timestamp,metric,value,instance_type
2025-04-06 20:00:35,test_start_time,1743980435,N/A
2025-04-06 20:00:39,initial_node_count,2,N/A
2025-04-06 20:00:43,node_instance_type,ip-10-0-2-85.ec2.internal,unknown
2025-04-06 20:00:43,node_status,Ready,unknown
2025-04-06 20:00:43,node_age,51m,unknown
2025-04-06 20:00:47,node_instance_type,ip-10-0-3-34.ec2.internal,unknown
2025-04-06 20:00:47,node_status,Ready,unknown
2025-04-06 20:00:47,node_age,51m,unknown
2025-04-06 20:00:51,scale_up_start_time,1743980451,N/A
2025-04-06 20:00:52,target_replicas,5,N/A
2025-04-06 20:00:56,current_node_count,2,N/A
2025-04-06 20:00:56,pending_pods,2,N/A
2025-04-06 20:00:56,running_pods,3,N/A
2025-04-06 20:00:56,max_node_count_5replicas,2,N/A
2025-04-06 20:02:06,current_node_count,2,N/A
2025-04-06 20:02:06,pending_pods,0,N/A
2025-04-06 20:02:06,running_pods,5,N/A
2025-04-06 20:03:15,current_node_count,2,N/A
2025-04-06 20:03:15,pending_pods,0,N/A
2025-04-06 20:03:15,running_pods,5,N/A
2025-04-06 20:04:25,current_node_count,2,N/A
2025-04-06 20:04:25,pending_pods,0,N/A
2025-04-06 20:04:25,running_pods,5,N/A
2025-04-06 20:05:35,current_node_count,2,N/A
2025-04-06 20:05:35,pending_pods,0,N/A
2025-04-06 20:05:35,running_pods,5,N/A
2025-04-06 20:06:41,scale_10_start_time,1743980801,N/A
2025-04-06 20:06:42,target_replicas,10,N/A
2025-04-06 20:06:46,current_node_count,2,N/A
2025-04-06 20:06:46,pending_pods,4,N/A
2025-04-06 20:06:46,running_pods,6,N/A
2025-04-06 20:07:56,current_node_count,4,N/A
2025-04-06 20:07:56,pending_pods,0,N/A
2025-04-06 20:07:56,running_pods,10,N/A
2025-04-06 20:07:56,new_node_time_since_scale_10,75,N/A
2025-04-06 20:07:56,max_node_count_10replicas,4,N/A
